Model,Test,Best Iter,Time,Seed,Run CMD
,"HR@5:0.4370,NDCG@5:0.3260,HR@10:0.5505,NDCG@10:0.3629,HR@20:0.6498,NDCG@20:0.3881,HR@50:0.7948,NDCG@50:0.4167",70,391.0,0,python main.py --model_name SLRCPlus --emb_size 64 --lr 5e-4 --l2 1e-5 --dataset 'Grocery_and_Gourmet_Food' --random_seed 0 --gpu 0
,"HR@5:0.4392,NDCG@5:0.3272,HR@10:0.5500,NDCG@10:0.3632,HR@20:0.6491,NDCG@20:0.3884,HR@50:0.7974,NDCG@50:0.4176",64,357.6,1,python main.py --model_name SLRCPlus --emb_size 64 --lr 5e-4 --l2 1e-5 --dataset 'Grocery_and_Gourmet_Food' --random_seed 1 --gpu 0
,"HR@5:0.4372,NDCG@5:0.3264,HR@10:0.5536,NDCG@10:0.3643,HR@20:0.6505,NDCG@20:0.3889,HR@50:0.7966,NDCG@50:0.4177",56,326.1,2,python main.py --model_name SLRCPlus --emb_size 64 --lr 5e-4 --l2 1e-5 --dataset 'Grocery_and_Gourmet_Food' --random_seed 2 --gpu 0
,"HR@5:0.4348,NDCG@5:0.3250,HR@10:0.5519,NDCG@10:0.3630,HR@20:0.6513,NDCG@20:0.3882,HR@50:0.7972,NDCG@50:0.4170",63,357.2,3,python main.py --model_name SLRCPlus --emb_size 64 --lr 5e-4 --l2 1e-5 --dataset 'Grocery_and_Gourmet_Food' --random_seed 3 --gpu 0
,"HR@5:0.4396,NDCG@5:0.3270,HR@10:0.5528,NDCG@10:0.3638,HR@20:0.6507,NDCG@20:0.3886,HR@50:0.7971,NDCG@50:0.4175",63,359.3,4,python main.py --model_name SLRCPlus --emb_size 64 --lr 5e-4 --l2 1e-5 --dataset 'Grocery_and_Gourmet_Food' --random_seed 4 --gpu 0
SLRCPlus,"0.4376,0.3263,0.5518,0.3634,0.6503,0.3884,0.7966,0.4173",,,,
,,,,,
,,,,,
,,,,,
,"HR@5:0.3929,NDCG@5:0.2932,HR@10:0.4835,NDCG@10:0.3226,HR@20:0.5926,NDCG@20:0.3500,HR@50:0.7790,NDCG@50:0.3868",37,419.2,0,python main.py --model_name TiSASRec --emb_size 64 --num_layers 1 --num_heads 1 --lr 1e-4 --l2 1e-6 --history_max 20 --dataset 'Grocery_and_Gourmet_Food' --random_seed 0 --gpu 0
